epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
9.0,1.0,0.013964167796075344,-1.6372970938682556,0.013871327042579651,35,110.0,0.0
10.0,1.0,0.013964167796075344,-1.6395337581634521,0.013847583904862404,36,110.0,0.0
11.0,1.0,0.01382375042885542,-1.640633463859558,0.01382375042885542,37,110.0,0.0
12.0,1.0,0.01382375042885542,-1.6397693157196045,0.013799699954688549,38,110.0,0.0
13.0,1.0,0.01382375042885542,-1.6412684321403503,0.013774988241493702,39,110.0,0.0
14.0,1.0,0.01382375042885542,-1.6438050866127014,0.013749725185334682,40,110.0,0.0
15.0,1.0,0.01382375042885542,-1.6461149454116821,0.013723901472985744,41,110.0,0.0
16.0,1.0,0.013697847723960876,-1.6431523561477661,0.013697847723960876,42,110.0,0.0
17.0,1.0,0.013697847723960876,-1.6463825106620789,0.013671189546585083,43,110.0,0.0
18.0,1.0,0.013697847723960876,-1.6501802206039429,0.01364339329302311,44,110.0,0.0
19.0,1.0,0.013697847723960876,-1.651581585407257,0.01361536979675293,45,110.0,0.0
20.0,1.0,0.013697847723960876,-1.6535611152648926,0.013586717657744884,46,110.0,0.0
21.0,1.0,0.013557602651417255,-1.650368094444275,0.013557602651417255,47,110.0,0.0
22.0,1.0,0.013557602651417255,-1.6557405591011047,0.013526864349842072,48,110.0,0.0
23.0,1.0,0.013557602651417255,-1.6542519330978394,0.01349553745239973,49,110.0,0.0
24.0,1.0,0.013557602651417255,-1.6583818793296814,0.013462722301483154,50,110.0,0.0
0.0,2.0,0.014384194277226925,-1.64398569720132,0.014330729842185974,51,210.0,0.0
1.0,2.0,0.014384194277226925,-1.647292903491429,0.014276343397796154,52,210.0,0.0
2.0,2.0,0.01421965379267931,-1.6500424487250192,0.01421965379267931,53,210.0,0.0
3.0,2.0,0.01421965379267931,-1.6547264201300484,0.01416041236370802,54,210.0,0.0
4.0,2.0,0.014101027511060238,-1.659079841205052,0.014101027511060238,55,210.0,0.0
5.0,2.0,0.014101027511060238,-1.6641444308417184,0.014039170928299427,56,210.0,0.0
6.0,2.0,0.013975138776004314,-1.669746688434056,0.013975138776004314,57,210.0,0.0
7.0,2.0,0.013975138776004314,-1.6733560051236833,0.013909781351685524,58,210.0,0.0
8.0,2.0,0.013840830884873867,-1.6813499076025826,0.013840830884873867,59,210.0,0.0
9.0,2.0,0.013840830884873867,-1.688318065234593,0.013769829645752907,60,210.0,0.0
10.0,2.0,0.013698476366698742,-1.6943529844284058,0.013698476366698742,61,210.0,0.0
11.0,2.0,0.013698476366698742,-1.705964343888419,0.013621047139167786,62,210.0,0.0
12.0,2.0,0.013544048182666302,-1.715631638254438,0.013544048182666302,63,210.0,0.0
13.0,2.0,0.013544048182666302,-1.7286472831453596,0.013466608710587025,64,210.0,0.0
14.0,2.0,0.013386527076363564,-1.7446920020239693,0.013386527076363564,65,210.0,0.0
15.0,2.0,0.013386527076363564,-1.7624508142471313,0.013309887610375881,66,210.0,0.0
16.0,2.0,0.013234257698059082,-1.7802539723260062,0.013234257698059082,67,210.0,0.0
17.0,2.0,0.013234257698059082,-1.8022902182170324,0.013155979104340076,68,210.0,0.0
18.0,2.0,0.013082237914204597,-1.82910532610757,0.013082237914204597,69,210.0,0.0
19.0,2.0,0.013082237914204597,-1.8595192262104578,0.013011363334953785,70,210.0,0.0
20.0,2.0,0.012944819405674934,-1.8956176723752702,0.012944819405674934,71,210.0,0.0
21.0,2.0,0.012944819405674934,-1.9339351483753748,0.012882204726338387,72,210.0,0.0
22.0,2.0,0.012825553305447102,-1.9857583386557442,0.012825553305447102,73,210.0,0.0
23.0,2.0,0.012825553305447102,-2.0406272070748463,0.012771195732057095,74,210.0,0.0
24.0,2.0,0.012723550200462341,-2.1039559500558034,0.012723550200462341,75,210.0,0.0
0.0,3.0,0.013343646191060543,-2.1761457443237306,0.013273417949676514,76,310.0,0.0
1.0,3.0,0.013204713352024555,-2.304086923599243,0.013215461745858192,77,310.0,0.0
2.0,3.0,0.013204713352024555,-2.4544728279113768,0.013167095370590687,78,310.0,0.0
3.0,3.0,0.013105367310345173,-2.643486833572388,0.013117638416588306,79,310.0,0.0
4.0,3.0,0.013105367310345173,-2.8710788249969483,0.013065566308796406,80,310.0,0.0
5.0,3.0,0.013025904074311256,-3.1483684539794923,0.013030312955379486,81,310.0,0.0
6.0,3.0,0.013025904074311256,-3.4794081687927245,0.012994426302611828,82,310.0,0.0
7.0,3.0,0.012932647950947285,-3.8512287616729735,0.012932647950947285,83,310.0,0.0
8.0,3.0,0.012932647950947285,-4.279029464721679,0.012947827577590942,84,310.0,0.0
9.0,3.0,0.012932647950947285,-4.709116840362549,0.012916254810988903,85,310.0,0.0
10.0,3.0,0.012932647950947285,-5.200588083267212,0.012952938675880432,86,310.0,0.0
11.0,3.0,0.012900123372673988,-5.700386238098145,0.012956865131855011,87,310.0,0.0
12.0,3.0,0.012900123372673988,-6.189356803894043,0.012958057224750519,88,310.0,0.0
13.0,3.0,0.012802672572433949,-6.703278303146362,0.01283322274684906,89,310.0,0.0
14.0,3.0,0.012744143605232239,-7.1931679248809814,0.012768976390361786,90,310.0,0.0
15.0,3.0,0.012659204192459583,-7.639503145217896,0.012683458626270294,91,310.0,0.0
16.0,3.0,0.012578191235661507,-8.106207275390625,0.012606704607605934,92,310.0,0.0
17.0,3.0,0.012518634088337421,-8.529205417633056,0.012534037232398987,93,310.0,0.0
18.0,3.0,0.012482357211411,-9.072365474700927,0.012520119547843933,94,310.0,0.0
19.0,3.0,0.012432781048119068,-9.463079833984375,0.012432781048119068,95,310.0,0.0
20.0,3.0,0.012387021444737911,-9.87707748413086,0.012440284714102745,96,310.0,0.0
21.0,3.0,0.012307683937251568,-10.264095115661622,0.012307683937251568,97,310.0,0.0
22.0,3.0,0.012307683937251568,-10.734033203125,0.012313435785472393,98,310.0,0.0
23.0,3.0,0.01219869963824749,-11.062488460540772,0.01219869963824749,99,310.0,0.0
24.0,3.0,0.01219869963824749,-11.45542278289795,0.012157964520156384,100,310.0,0.0
0.0,4.0,0.015111878514289856,-8.487534596369816,0.015451950021088123,101,410.0,0.0
1.0,4.0,0.014900756068527699,-9.795269159170298,0.015649082139134407,102,410.0,0.0
2.0,4.0,0.014731675386428833,-10.390432944664589,0.015024900436401367,103,410.0,0.0
3.0,4.0,0.01453583873808384,-10.806369708134579,0.01453583873808384,104,410.0,0.0
4.0,4.0,0.014265495352447033,-11.180585861206055,0.014265495352447033,105,410.0,0.0
5.0,4.0,0.01397393923252821,-11.543213917658878,0.01397393923252821,106,410.0,0.0
6.0,4.0,0.013830626383423805,-11.895711752084585,0.013831312768161297,107,410.0,0.0
7.0,4.0,0.01363642979413271,-12.253193781926083,0.01363642979413271,108,410.0,0.0
8.0,4.0,0.013499128632247448,-12.608261768634502,0.013499128632247448,109,410.0,0.0
9.0,4.0,0.01331009715795517,-12.96640396118164,0.01331009715795517,110,410.0,0.0
10.0,4.0,0.013123742304742336,-13.273587740384615,0.013123742304742336,111,410.0,0.0
11.0,4.0,0.012978128157556057,-13.625935774583082,0.012978128157556057,112,410.0,0.0
12.0,4.0,0.012801733799278736,-13.995067743154673,0.012801733799278736,113,410.0,0.0
13.0,4.0,0.012645840644836426,-14.351049496577335,0.012645840644836426,114,410.0,0.0
14.0,4.0,0.012469707988202572,-14.717727441054125,0.012469707988202572,115,410.0,0.0
15.0,4.0,0.012326786294579506,-15.028489332932692,0.012326786294579506,116,410.0,0.0
16.0,4.0,0.012158638797700405,-15.41789568387545,0.012158638797700405,117,410.0,0.0
17.0,4.0,0.011957976035773754,-15.749641711895283,0.011957976035773754,118,410.0,0.0
18.0,4.0,0.011789682321250439,-16.12538821880634,0.011789682321250439,119,410.0,0.0
19.0,4.0,0.011647256091237068,-16.42988447042612,0.011647256091237068,120,410.0,0.0
20.0,4.0,0.011468560434877872,-16.68173335148738,0.011468560434877872,121,410.0,0.0
21.0,4.0,0.011304685845971107,-16.945708935077374,0.011304685845971107,122,410.0,0.0
22.0,4.0,0.011160596273839474,-17.31558476961576,0.011160596273839474,123,410.0,0.0
23.0,4.0,0.01099923811852932,-17.688878719623272,0.01099923811852932,124,410.0,0.0
24.0,4.0,0.010875177569687366,-17.969354776235726,0.010875177569687366,125,410.0,0.0
